ID,Session ID,User ID,Question ID,Question Text,Question Type,User Answer,Correct Answer,Response Time,Button Response 1,Button Response 2,Button Response 3,Button Response 4,Button Response Submit,Trial Onset,Feedback Onset,Current Date,Current Year,Current Time,Current Time MS,Semester,Grade,Age,Handedness,Gender,SEA Group,iPad Number,Math Recall Array,Math Verification Array,Math Recall Orientation,Practice
0,test,eng-cha4000-mid,0,5-2,Math Fluency Practice,3,3,22820,1935,None,None,None,2649,0,2849,Mar 31,2021,01:03:27 PM,73980,-,0,0,-,-,-,0,-,-,-,True
1,test,eng-cha4000-mid,1,0+4,Math Fluency Practice,4,4,3465,6032,None,None,None,6747,3282,6963,Mar 31,2021,01:03:31 PM,77980,-,0,0,-,-,-,0,-,-,-,True
2,test,eng-cha4000-mid,2,3+3,Math Fluency Practice,6,6,2316,8897,None,None,None,9681,7365,9895,Mar 31,2021,01:03:34 PM,80980,-,0,0,-,-,-,0,-,-,-,True
3,test,eng-cha4000-mid,3,1+0,Math Fluency Practice,1,1,2042,11612,None,None,None,12353,10311,12560,Mar 31,2021,01:03:37 PM,83980,-,0,0,-,-,-,0,-,-,-,True
4,test,eng-cha4000-mid,4,2-1,Math Fluency Practice,1,1,2216,14345,None,None,None,15193,12978,15410,Mar 31,2021,01:03:40 PM,86980,-,0,0,-,-,-,0,-,-,-,True
5,test,eng-cha4000-mid,0,1+7=,Math Fluency,8,8,3881,1953,None,None,None,2765,0,2965,Mar 31,2021,01:03:44 PM,90980,-,0,0,-,-,-,0,-,-,-,False
6,test,eng-cha4000-mid,1,5-2=,Math Fluency,3,3,2038,4830,None,None,None,5435,3398,5647,Mar 31,2021,01:03:47 PM,93980,-,0,0,-,-,-,0,-,-,-,False
7,test,eng-cha4000-mid,2,8+1=,Math Fluency,9,9,2416,7714,None,None,None,8479,6063,8682,Mar 31,2021,01:03:50 PM,96980,-,0,0,-,-,-,0,-,-,-,False
8,test,eng-cha4000-mid,3,5-0=,Math Fluency,5,5,2517,10827,None,None,None,11629,9112,11844,Mar 31,2021,01:03:53 PM,99980,-,0,0,-,-,-,0,-,-,-,False
9,test,eng-cha4000-mid,4,2+7=,Math Fluency,9,9,3090,14334,None,None,None,15353,12263,15560,Mar 31,2021,01:03:57 PM,103980,-,0,0,-,-,-,0,-,-,-,False
10,test,eng-cha4000-mid,5,1+5=,Math Fluency,6,6,2281,17442,None,None,None,18257,15976,18461,Mar 31,2021,01:04:00 PM,47040,-,0,0,-,-,-,0,-,-,-,False
11,test,eng-cha4000-mid,6,1-1=,Math Fluency,0,0,3567,20840,None,None,None,22459,18891,22672,Mar 31,2021,01:04:04 PM,51040,-,0,0,-,-,-,0,-,-,-,False
12,test,eng-cha4000-mid,7,1+4=,Math Fluency,5,5,2486,24788,None,None,None,25575,23089,25787,Mar 31,2021,01:04:07 PM,54040,-,0,0,-,-,-,0,-,-,-,False
13,test,eng-cha4000-mid,8,2-2=,Math Fluency,0,0,3115,27923,None,None,None,29335,26221,29536,Mar 31,2021,01:04:11 PM,58040,-,0,0,-,-,-,0,-,-,-,False
14,test,eng-cha4000-mid,9,3-1=,Math Fluency,2,2,2065,31335,None,None,None,32018,29954,32235,Mar 31,2021,01:04:14 PM,61040,-,0,0,-,-,-,0,-,-,-,False
15,test,eng-cha4000-mid,10,4-3=,Math Fluency,1,1,1949,33866,None,None,None,34617,32667,34833,Mar 31,2021,01:04:16 PM,63040,-,0,0,-,-,-,0,-,-,-,False
16,test,eng-cha4000-mid,11,1+1=,Math Fluency,2,2,2466,36685,None,None,None,37716,35250,37918,Mar 31,2021,01:04:19 PM,66040,-,0,0,-,-,-,0,-,-,-,False
17,test,eng-cha4000-mid,12,6-3=,Math Fluency,3,3,2098,39700,None,None,None,40446,38348,40647,Mar 31,2021,01:04:22 PM,69040,-,0,0,-,-,-,0,-,-,-,False
18,test,eng-cha4000-mid,13,3+0=,Math Fluency,3,3,1917,42299,None,None,None,42981,41063,43196,Mar 31,2021,01:04:25 PM,72040,-,0,0,-,-,-,0,-,-,-,False
19,test,eng-cha4000-mid,14,3-2=,Math Fluency,1,1,2417,45265,None,None,None,46030,43613,46230,Mar 31,2021,01:04:28 PM,75040,-,0,0,-,-,-,0,-,-,-,False
20,test,eng-cha4000-mid,15,4-4=,Math Fluency,0,0,2484,48179,None,None,None,49129,46645,49344,Mar 31,2021,01:04:31 PM,78040,-,0,0,-,-,-,0,-,-,-,False
21,test,eng-cha4000-mid,16,1+2=,Math Fluency,3,3,1812,50958,None,None,None,51575,49762,51792,Mar 31,2021,01:04:33 PM,80040,-,0,0,-,-,-,0,-,-,-,False
22,test,eng-cha4000-mid,17,6-1=,Math Fluency,5,5,2950,54377,None,None,None,55160,52210,55374,Mar 31,2021,01:04:37 PM,84040,-,0,0,-,-,-,0,-,-,-,False
23,test,eng-cha4000-mid,18,0+0=,Math Fluency,0,0,2086,57122,None,None,None,57893,55806,58105,Mar 31,2021,01:04:40 PM,87040,-,0,0,-,-,-,0,-,-,-,False
24,test,eng-cha4000-mid,19,4+2=,Math Fluency,6,6,2685,60254,None,None,None,61206,58521,61421,Mar 31,2021,01:04:43 PM,90040,-,0,0,-,-,-,0,-,-,-,False
25,test,eng-cha4000-mid,20,3-3=,Math Fluency,0,0,2251,63086,None,None,None,64103,61853,64320,Mar 31,2021,01:04:46 PM,93040,-,0,0,-,-,-,0,-,-,-,False
26,test,eng-cha4000-mid,21,6+1=,Math Fluency,7,7,2183,66156,None,None,None,66904,64721,67117,Mar 31,2021,01:04:49 PM,96040,-,0,0,-,-,-,0,-,-,-,False
27,test,eng-cha4000-mid,22,5+3=,Math Fluency,8,8,3013,69790,None,None,None,70566,67553,70768,Mar 31,2021,01:04:52 PM,99040,-,0,0,-,-,-,0,-,-,-,False
28,test,eng-cha4000-mid,23,3-0=,Math Fluency,3,3,2347,72818,None,None,None,73531,71184,73731,Mar 31,2021,01:04:55 PM,102040,-,0,0,-,-,-,0,-,-,-,False
29,test,eng-cha4000-mid,24,4-2=,Math Fluency,2,2,2567,76015,None,None,None,76716,74149,76929,Mar 31,2021,01:04:58 PM,105040,-,0,0,-,-,-,0,-,-,-,False
